ID,MUNDO,PUNTO DE RECORRIDO,TIPO DE RETO,Contexto (si hace falta),Enunciado ciudadanía (default),Puntos por respuesta correcta,Respuesta 1,% R1,Respuesta 2,% R2,Respuesta 3,% R3,Respuesta 4,% R4,Num. Articulo,Artículo de la constitución (texto),Feedback del juego,TIEMPO (segundos),Dificultad,
61,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Entre los requisitos exigidos por la Constitución para ser senador o senadora, figura tener 18 años de edad.",10,Falso,100%,Verdadero,0%,,0%,,0%,79,Constitución de la República Dominicana,"Requisitos para ser senador o senadora. Para ser senadora o senador se requiere ser dominicana o dominicano en pleno ejercicio de los derechos civiles y políticos, haber cumplido veinticinco años de edad, ser nativo de la demarcación territorial que lo elija o haber residido en ella por lo menos cinco años consecutivos.",30,Fácil,
62,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Entre los requisitos exigidos por la Constitución para ser senador o senadora, figura ser nativo o nativa de la demarcación territorial que lo elija o haber residido en ella por lo menos cinco años consecutivos.",10,Verdadero,100%,Falso,0%,,0%,,0%,79,Constitución de la República Dominicana,"Requisitos para ser senador o senadora. Para ser senadora o senador se requiere ser dominicana o dominicano en pleno ejercicio de los derechos civiles y políticos, haber cumplido veinticinco años de edad, ser nativo de la demarcación territorial que lo elija o haber residido en ella por lo menos cinco años consecutivos.",30,Fácil,
63,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Las personas naturalizadas podrán ser elegidas al Senado:,10,"  Diez (10) años después de haber adquirido la nacionalidad dominicana, siempre que satisfagan el requisito de residir durante los cinco (5) años que precedan a su elección en la jurisdicción que las elija.",100%,Cinco (5) años después de haber adquirido la nacionalidad dominicana.,0%,Cuatro (4) años después de haber adquirido la nacionalidad dominicana.,0%,"Un (1) año después de haber adquirido la nacionalidad dominicana, habiendo residido por diez años en la jurisdicción que las elija.",0%,79,Constitución de la República Dominicana,"Requisitos para ser senador o senadora. Para ser senadora o senador se requiere ser dominicana o dominicano en pleno ejercicio de los derechos civiles y políticos, haber cumplido veinticinco años de edad, ser nativo de la demarcación territorial que lo elija o haber residido en ella por lo menos cinco años consecutivos. En consecuencia:

2) Las personas naturalizadas sólo podrán ser elegidas al Senado diez años después de haber adquirido la nacionalidad dominicana, siempre que hayan residido en la jurisdicción que las elija durante los cinco años que precedan a su elección.",30,Medio,
64,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Es atribución exclusiva del Senado de la República elegir los miembros de la Junta Central Electoral y sus suplentes:,10,Verdadero,100%,Falso,0%,,0%,,0%,80,Constitución de la República Dominicana,"Atribuciones. - Son atribuciones exclusivas del Senado:

- 4) Elegir los miembros de la Junta Central Electoral y sus suplentes, con el voto de las dos terceras partes de los presentes;",30,Fácil,
65,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Entre las atribuciones de la Cámara de Diputados se encuentra:,10,Someter al Senado las ternas para la elección de los miembros de la Cámara de Cuentas con el voto favorable de las dos terceras partes de los presentes.,100%,Acusar a los funcionarios públicos elegidos por voto popular por ante la Procuraduría General de la República.,0%,Aprobar los contratos sometidos por el Poder Ejecutivo.,0%,"La formulación e implementación de la política del Estado contra la criminalidad, dirige la investigación penal y ejerce la acción pública en representación de la sociedad.",0%,83,Constitución de la República Dominicana,"Atribuciones. Son atribuciones exclusivas de la Cámara de Diputados:

2) Someter al Senado las ternas para la elección de los miembros de la Cámara de Cuentas con el voto favorable de las dos terceras partes de los presentes;",30,Medio,
66,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Entre las atribuciones del Congreso Nacional, se encuentra autorizar al Presidente de la República a declarar los estados de excepción referidos en la Constitución.",10,Verdadero,100%,Falso,0%,,0%,,0%,93,Constitución de la República Dominicana,"Atribuciones. El Congreso Nacional legisla y fiscaliza en representación del pueblo, le corresponden en consecuencia: 1) Atribuciones generales en materia legislativa: g) Establecer las normas relativas a la migración y el régimen de extranjería;",30,Fácil,
67,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Entre las atribuciones exclusivas del Senado de la República, se encuentra establecer las normas relativas a la migración y el régimen de extranjería.",10,Falso,100%,Verdadero,0%,,0%,,0%,93,Constitución de la República Dominicana,"Atribuciones. El Congreso Nacional legisla y fiscaliza en representación del pueblo, le corresponden en consecuencia: 1) Atribuciones generales en materia legislativa: g) Establecer las normas relativas a la migración y el régimen de extranjería;",30,Fácil,
68,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Entre las atribuciones exclusivas que tiene la Cámara de Diputados, se encuentra conceder amnistía por causas políticas.",10,Falso,100%,Verdadero,0%,,0%,,0%,93,Constitución de la República Dominicana,"Atribuciones. El Congreso Nacional legisla y fiscaliza en representación del pueblo, le corresponden en consecuencia: 1) Atribuciones generales en materia legislativa: p) Conceder amnistía por causas políticas;",30,Fácil,
69,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Tienen derecho a iniciativa en la formación de las leyes:,10,"Los senadores y diputados, el Presidente de la República, la Suprema Corte de Justicia en asuntos judiciales y la Junta Central Electoral en asuntos electorales.",100%,Únicamente la Junta Central Electoral.,0%,El Defensor del Pueblo.,0%,El Ministerio Público.,0%,96,Constitución de la República Dominicana,Iniciativa de ley. Tienen derecho a iniciativa en la formación de las leyes: 1) Los senadores o senadoras y los diputados o diputadas; 2) El Presidente de la República; 3) La Suprema Corte de Justicia en asuntos judiciales; 4) La Junta Central Electoral en asuntos electorales.,30,Fácil,
70,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"En el marco de la iniciativa legislativa popular, ¿qué cantidad de ciudadanos inscritos en el registro de electores se requiere para poder presentar proyectos de ley ante el Congreso Nacional?",10,Un dos por ciento (2%),100%,Un cuatro por ciento (4%),0%,Un cincuenta por ciento (50%),0%,Un quince por ciento (15%),0%,97,Constitución de la República Dominicana,"Iniciativa legislativa popular. Se establece la iniciativa legislativa popular mediante la cual un número de ciudadanos y ciudadanas no menor del dos por ciento (2%) de los inscritos en el registro de electores, podrá presentar proyectos de ley ante el Congreso Nacional.",30,Fácil,
71,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Si el Poder Ejecutivo observa la ley que le fuere remitida, la devolverá a la cámara de donde procede en el término de ocho días, a contar de la fecha en que fue recibida.",10,Falso,100%,Verdadero,0%,,0%,,0%,102,Constitución de la República Dominicana,"Observación a la ley. Si el Poder Ejecutivo observa la ley que le fuere remitida, la devolverá a la cámara de donde procede en el término de diez días, a contar de la fecha en que fue recibida. Si el asunto fue declarado de urgencia, hará sus observaciones en el término de cinco días a partir de ser recibida. El Poder Ejecutivo remitirá sus observaciones indicando los artículos sobre los cuales recaen y motivando las razones de la observación.",30,Medio,
72,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Toda ley observada por el Poder Ejecutivo al Congreso Nacional tiene un plazo de dos legislaturas ordinarias para ser decidida, de lo contrario se considerará rechazada la observación.",10,Falso,100%,Verdadero,0%,,0%,,0%,103,Constitución de la República Dominicana,"Plazo para conocer las observaciones del Poder Ejecutivo. Toda ley observada por el Poder Ejecutivo al Congreso Nacional tiene un plazo de dos legislaturas ordinarias para decidirla, de lo contrario se considerará aceptada la observación.",30,Difícil,
73,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Las leyes y resoluciones bicamerales deben encabezarse con lo siguiente:,10,El Congreso Nacional. En nombre de la República.,100%,República Dominicana.,0%,Senado de la República.,0%,El Presidente de la República en nombre del Congreso Nacional.,0%,108,Constitución de la República Dominicana,Encabezados de las leyes. Las leyes y resoluciones bicamerales se encabezarán así: El Congreso Nacional. En nombre de la República.,30,Fácil,
74,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Aquellas leyes que por su naturaleza requieren para su aprobación la mayoría absoluta de los votos de los presentes de cada cámara se denominan como:,10,Las leyes ordinarias,100%,Las leyes orgánicas,0%,Las leyes naturales,0%,Las leyes especiales,0%,113,Constitución de la República Dominicana,Leyes ordinarias. Las leyes ordinarias son aquellas que por su naturaleza requieren para su aprobación la mayoría absoluta de los votos de los presentes de cada cámara.,30,Fácil,
75,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Dónde debe rendir el Defensor del Pueblo el informe anual de su gestión?:,10,En el Congreso Nacional,100%,En el Poder Ejecutivo.,0%,En el Senado de la República.,0%,En la Controlaría General de la República.,0%,116,Constitución de la República Dominicana,"Rendición de informe Defensor del Pueblo. El Defensor del Pueblo rendirá al Congreso Nacional el informe anual de su gestión, a más tardar treinta días antes del cierre de la primera legislatura ordinaria.",30,Fácil,
76,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Quién preside el bufete directivo de la Asamblea Nacional:,10,El Presidente del Senado de la República.,100%,El Presidente de la República.,0%,El Presidente de la Cámara de Diputados.,0%,El Procurador General de la República.,0%,119,Constitución de la República Dominicana,"Bufete Directivo de la Asamblea Nacional. La Asamblea Nacional o la Reunión Conjunta de ambas cámaras se rigen por su reglamento de organización y funcionamiento. En ambos casos asumirá la presidencia, el Presidente del Senado; la vicepresidencia, el Presidente de la Cámara de Diputados y la secretaría, los secretarios de cada cámara.",30,Fácil,
77,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Entre las atribuciones de la Asamblea Nacional se encuentra:,10,"Proclamar a la o al Presidente y Vicepresidente de la República, recibirles su juramento y aceptar o rechazar sus renuncias.",100%,Juramentar a la Junta Monetaria.,0%,Conocer los contratos suscritos por el Poder Ejecutivo.,0%,Celebrar actos conmemorativos o de naturaleza protocolar.,0%,120,Constitución de la República Dominicana,"Atribuciones de la Asamblea Nacional. Corresponde a la Asamblea Nacional:

3) Proclamar a la o al Presidente y Vicepresidente de la República, recibirles su juramento y aceptar o rechazar sus renuncias;",30,Fácil,
78,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"La Asamblea Nacional conoce y decide sobre las reformas constitucionales, actuando como:",10,Asamblea Nacional Revisora.,100%,Cámaras Reunidas.,0%,Reunión Constituyente.,0%,Cámara de Consejo.,0%,120,Constitución de la República Dominicana,"Atribuciones de la Asamblea Nacional. Corresponde a la Asamblea Nacional: 1) Conocer y decidir sobre las reformas constitucionales, actuando en este caso, como Asamblea Nacional Revisora;",30,Medio,
79,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"El Senado y la Cámara de Diputados celebrarán sus sesiones de forma separada, excepto cuando se reúnan en Asamblea Nacional.",10,Verdadero,100%,Falso,0%,,0%,,0%,117,Constitución de la República Dominicana,"Conformación de la Asamblea Nacional. El Senado y la Cámara de Diputados celebrarán sus sesiones de forma separada, excepto cuando se reúnan en Asamblea Nacional.",30,Fácil,
80,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Quién ejerce el Poder Legislativo?,10,El Congreso Nacional,100%,El Presidente de la República,0%,La Suprema Corte de Justicia,0%,La Asamblea Nacional,0%,76,Constitución de la República Dominicana,"Composición del Congreso. El Poder Legislativo se ejerce en nombre del pueblo por el Congreso Nacional, conformado por el Senado de la República y la Cámara de Diputados.",30,Fácil,
81,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La Asamblea Nacional se conforma de la siguiente manera:,10,Por el Senado y la Cámara de Diputados,100%,"Por el Presidente de la Suprema Corte de Justicia, el Presidente del Tribunal Constitucional y el Presidente de la República.",0%,Por el Consejo del Poder Judicial y el Congreso Nacional.,0%,Por todos los órganos extrapoder del Estado.,0%,117,Constitución de la República Dominicana,"Conformación de la Asamblea Nacional. El Senado y la Cámara de Diputados celebrarán sus sesiones de forma separada, excepto cuando se reúnan en Asamblea Nacional.",30,Fácil,
82,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Quiénes eligen a los legisladores?,10,El pueblo por voto directo y universal.,100%,La Junta Central Electoral.,0%,El Tribunal Superior Electoral.,0%,El Procurador General de la República,0%,77,Constitución de la República Dominicana,Elección de las y los legisladores. La elección de senadores y diputados se hará por sufragio universal directo en los términos que establezca la ley.,30,Fácil,
83,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El período electivo de los senadores y las senadoras es de:,10,4 años,100%,5 años,0%,3 años,0%,2 años,0%,78,Constitución de la República Dominicana,"Composición del Senado. El Senado se compone de miembros elegidos a razón de uno por cada provincia y uno por el Distrito Nacional, cuyo ejercicio durará cuatro años.",30,Fácil,
84,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Los requisitos para ser diputada o diputado son diferentes al de los senadores.,10,Falso,100%,Verdadero,0%,,0%,,0%,82,Constitución de la República Dominicana,Requisitos para ser diputada o diputado. Para ser diputada o diputado se requieren las mismas condiciones que para ser senador.,30,Fácil,
85,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Los senadores y diputados tienen la libertad de emitir sus opiniones, gozando de inmunidad respecto a lo expresado en las sesiones.",10,Verdadero,100%,Falso,0%,,0%,,0%,85,Constitución de la República Dominicana,Inmunidad por opinión. Los integrantes de ambas cámaras gozan de inmunidad por las opiniones que expresen en las sesiones.,30,Medio,
86,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Una vez aprobado el proyecto de ley en ambas cámaras del Congreso Nacional, ¿a quién le es enviado para su promulgación?",10,Al Poder Ejecutivo,100%,A la Junta Central Electoral.,0%,Al Tribunal Constitucional.,0%,Al Tribunal Superior Electoral.,0%,101,Constitución de la República Dominicana,"Promulgación y publicación. Toda ley aprobada en ambas cámaras será enviada al Poder
Ejecutivo para su promulgación u observación.",30,Fácil,
87,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Ningún proyecto de ley puede ser rechazado por el Congreso.,10,Falso,100%,Verdadero,0%,,0%,,0%,107,Constitución de la República Dominicana,Proyecto de ley rechazado. Los proyectos de ley rechazados en una cámara no pueden presentarse en ninguna de las dos cámaras hasta la legislatura siguiente.,30,Fácil,
88,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"A quién le atribuye la Constitución de la República la facultad de elegir al Defensor del Pueblo, sus suplentes y sus adjuntos?",10,Al Senado de la República,100%,Al Congreso Nacional.,0%,Al Tribunal Constitucional.,0%,Al Presidente de la República.,0%,80,Constitución de la República Dominicana,"Atribuciones. - Son atribuciones exclusivas del Senado:

5) Elegir al Defensor del Pueblo, sus suplentes y sus adjuntos, a partir de las ternas que le presente la Cámara de Diputados, con el voto de las dos terceras partes de los presentes;",30,Fácil,
89,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La Constitución prevé que el Senado de la República elija al Defensor del Pueblo a partir de las ternas presentadas por:,10,La Cámara de Diputados,100%,Las asociaciones sin fines de lucro,0%,La Consultoría Jurídica del Poder Ejecutivo,0%,El Consejo del Poder Judicial,0%,80,Constitución de la República Dominicana,"Atribuciones. - Son atribuciones exclusivas del Senado:

5) Elegir al Defensor del Pueblo, sus suplentes y sus adjuntos, a partir de las ternas que le presente la Cámara de Diputados, con el voto de las dos terceras partes de los presentes;",30,Medio,
90,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"En caso de destitución, los legisladores dominicanos pueden optar por una nueva posición en el Congreso Nacional transcurrido un lapso de:",10,10 años,100%,  2 años,0%,1 año,0%,8 meses,0%,88,Constitución de la República Dominicana,"Pérdida de investidura. Las y los legisladores deben asistir a las sesiones de las legislaturas y someterse al régimen de inhabilidades e incompatibilidades en la forma y términos que definan la presente Constitución y los reglamentos internos de la cámara legislativa correspondiente. Quienes incumplan lo anterior perderán su investidura, previo juicio político de acuerdo con las normas instituidas por esta Constitución y los reglamentos y no podrán optar por una posición en el Congreso Nacional dentro de los diez años siguientes a su destitución.",30,Difícil,
91,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La legislatura del Congreso Nacional tiene una duración de:,10,150 días,100%,30 días,0%,60 días,0%,6 meses,0%,89,Constitución de la República Dominicana,Duración de las legislaturas. Las cámaras se reunirán de forma ordinaria el 27 de febrero y el 16 de agosto de cada año. Cada legislatura durará ciento cincuenta días. El Poder Ejecutivo podrá convocarlas de forma extraordinaria.,30,Medio,
92,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Cuál es el rol de los presidentes de ambas cámaras del Congreso Nacional durante las sesiones?,10,Tienen poderes disciplinarios y representan a sus cámaras en todos los actos legales.,100%,No tienen un rol específico.,0%,Solo pueden actuar como moderadores.,0%,Pueden vetar leyes.,0%,90,Constitución de la República Dominicana,"Bufetes directivos de las cámaras. El 16 de agosto de cada año el Senado y la Cámara de Diputados elegirán sus respectivos bufetes directivos, integrados por un presidente, un vicepresidente y dos secretarios. 

1) El Presidente del Senado y el de la Cámara de Diputados tendrán, durante las sesiones, poderes disciplinarios y representarán a su respectiva cámara en todos los actos legales;",30,Medio,
93,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué porcentaje de votos es necesario para la aprobación de una ley orgánica en ambas cámaras?,10,Dos terceras partes de los presentes.,100%,Mayoría simple.,0%,Mayoría absoluta.,0%,Unanimidad.,0%,112,Constitución de la República Dominicana,"Leyes orgánicas. Las leyes orgánicas son aquellas que por su naturaleza regulan los derechos fundamentales; la estructura y organización de los poderes públicos; la función pública; el régimen electoral; el régimen económico financiero; el presupuesto, planificación e inversión pública; la organización territorial; los procedimientos constitucionales; la seguridad y defensa; las materias expresamente referidas por la Constitución y otras de igual naturaleza. Para su aprobación o modificación requerirán del voto favorable de las dos terceras partes de los presentes en ambas cámaras.",30,Medio,
94,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Quién ejerce el Poder Ejecutivo en nombre del pueblo?,10,La Presidenta o el presidente de la República,100%,El Congreso Nacional,0%,La Corte Suprema de Justicia,0%,El Vicepresidente de la República,0%,112,Constitución de la República Dominicana,"Presidente de la República. El Poder Ejecutivo es ejercido en nombre del pueblo por la Presidenta o el Presidente de la República, en su condición de jefe de Estado y de gobierno de conformidad con lo dispuesto por esta Constitución y las leyes.",30,Fácil,
95,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"¿Para ser presidente de la República, cuántos años se requiere tener como mínimo?",10,30,100%,25,0%,35,0%,40,0%,123,Constitución de la República Dominicana,"Requisitos para ser Presidente de la República. Para ser Presidente de la República se requiere:
-        2) Haber cumplido treinta años de edad;",30,Fácil,
96,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Por cuánto tiempo es elegido el presidente de la República?,10,Por 4 años,100%,Por 2 años,0%,Por 6 años,0%,Por 8 años,0%,124,Constitución de la República Dominicana,"Elección presidencial. El Poder Ejecutivo lo ejerce el Presidente o la Presidenta de la República, quien será elegido o elegida cada cuatro años por voto directo.",30,Fácil,
97,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Cuál es la máxima cantidad de períodos consecutivos que puede servir un presidente?,10,Dos,100%,Uno,0%,Tres,0%,Cuatro,0%,124,Constitución de la República Dominicana,"Elección presidencial. El Poder Ejecutivo lo ejerce el Presidente o la Presidenta de la República, quien será elegido o elegida cada cuatro años por voto directo. El Presidente o la Presidenta de la República podrá optar por un segundo período constitucional consecutivo y no podrá postularse jamás al mismo cargo ni a la Vicepresidencia de la República.",30,Fácil,
98,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Quién asumiría el cargo de presidente si el presidente electo no puede y el vicepresidente no está disponible?,10,El Presidente de la Suprema Corte de Justicia,100%,El Ministro de Defensa,0%,El Ministro de Interior,0%,El Secretario General del Congreso,0%,126,Constitución de la República Dominicana,"Juramentación del Presidente y del Vicepresidente de la República. El Presidente y el Vicepresidente de la República elegidos en los comicios generales, prestarán juramento a sus cargos el día 16 de agosto siguiente a su elección, fecha en que termina el período de las autoridades salientes. En consecuencia:

1) Cuando el Presidente de la República no pueda juramentarse, por encontrarse fuera del país, por enfermedad o por cualquier otra causa de fuerza mayor, será juramentado el Vicepresidente de la República, quien ejercerá de forma interina las funciones de Presidente de la República, y a falta de éste, el Presidente de la Suprema Corte de Justicia. Una vez cese la causa que haya impedido al Presidente o al Vicepresidente electos asumir sus cargos, éstos serán juramentados y entrarán en funciones de inmediato; 

2) Si el Presidente de la República electo faltare de forma definitiva sin prestar juramento a su cargo, y esa falta fuese así reconocida por la Asamblea Nacional, lo sustituirá el Vicepresidente de la República electo y a falta de éste, se procederá en la forma indicada precedentemente.",30,Fácil,
99,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Cómo se elige al vicepresidente de la República?,10,Por voto directo conjuntamente con el presidente,100%,Por el Congreso Nacional,0%,Por el presidente saliente,0%,Por la Suprema Corte de Justicia,0%,125,Constitución de la República Dominicana,"Vicepresidente de la República. Habrá un o una Vicepresidente de la República, elegido conjuntamente con el Presidente, en la misma forma y por igual período.",30,Fácil,
100,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué debe hacer el presidente si el vicepresidente faltare definitivamente?,10,Presentar una terna a la Asamblea Nacional,100%,Nombrar un nuevo vicepresidente,0%,Convocar a elecciones anticipadas,0%,Asumir las funciones del vicepresidente,0%,130,Constitución de la República Dominicana,"Sucesión vicepresidencial. En caso de falta definitiva del Vicepresidente de la República, antes o después de su juramentación, el Presidente de la República, en un plazo de treinta días, presentará una terna a la Asamblea Nacional para su elección.",30,Fácil,
101,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué ocurre si el presidente de la República electo falta de manera definitiva?,10,El Vicepresidente asume el cargo,100%,Se realizan nuevas elecciones,0%,El Congreso Nacional designa un nuevo presidente,0%,El Presidente de la Suprema Corte de Justicia asume interinamente,0%,129,Constitución de la República Dominicana,"Sucesión presidencial. La sucesión presidencial se regirá por las siguientes normas: 

2) En caso de falta definitiva del Presidente de la República, el Vicepresidente asumirá la Presidencia de la República por el tiempo que falte para la terminación del período presidencial;",30,Fácil,
102,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué debe hacer el o la presidente si pretende viajar al extranjero por más de 15 días?,10,Obtener autorización del Congreso Nacional,100%,Presentar una solicitud especial a la Asamblea Nacional,0%,Presentar un informe a la Asamblea Nacional,0%,Designar a un funcionario para que lo sustituya,0%,131,Constitución de la República Dominicana,Autorización para viajar al extranjero. El o la Presidente de la República no puede viajar al extranjero por más de quince días sin autorización del Congreso Nacional.,30,Medio,
103,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Ante cual órgano deben presentar renuncia el presidente y el vicepresidente en caso de que decidan hacerlo?,10,Ante la Asamblea Nacional,100%,Ante el Senado de la República,0%,Ante la Suprema Corte de Justicia,0%,Ante el Congreso Nacional,0%,132,Constitución de la República Dominicana,Renuncia. El o la Presidente y el Vicepresidente de la República sólo pueden renunciar ante la Asamblea Nacional.,30,Medio,
104,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Cómo se establecen los ministerios del Estado?,10,Por ley,100%,Por el Congreso Nacional,0%,Por el presidente de la República,0%,Por la Corte Suprema de Justicia,0%,134,Constitución de la República Dominicana,Ministerios de Estado. Para el despacho de los asuntos de gobierno habrá los ministerios que sean creados por ley.,30,Medio,
105,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué requisito deben cumplir los ministros y viceministros en términos de edad?,10,Tener al menos 25 años,100%,Tener al menos 20 años,0%,Tener al menos 30 años,0%,Tener al menos 35 años,0%,135,Constitución de la República Dominicana,Requisitos para ser ministro o viceministro. Para ser ministro o viceministro se requiere ser dominicana o dominicano en pleno ejercicio de los derechos civiles y políticos y haber cumplido la edad de veinticinco años. Las personas naturalizadas sólo pueden ser ministros o viceministros diez años después de haber adquirido la nacionalidad dominicana. Los ministros y viceministros no pueden ejercer ninguna actividad profesional o mercantil que pudiere generar conflictos de intereses.,30,Fácil,
